GENERIC,SKINTONE
PLYR001,0
PLYR002,0
PLYR003,0
PLYR004,0
PLYR005,4
PLYR006,4
PLYR007,4
PLYR008,2
PLYR009,2
PLYR010,0
PLYR011,0
PLYR012,3
PLYR013,3
PLYR014,2
PLYR015,3
PLYR016,0
PLYR017,3
PLYR018,4
PLYR019,2
PLYR020,0
PLYR021,0
PLYR022,3
PLYR023,0
PLYR024,2
PLYR025,3
PLYR026,0
PLYR027,2
PLYR028,3
PLYR029,0
PLYR030,0
PLYR031,0
PLYR032,0
PLYR033,0
PLYR034,0
PLYR035,0
PLYR036,0
PLYR037,0
PLYR038,0
PLYR039,0
PLYR040,0
PLYR041,0
PLYR042,0
PLYR043,0
PLYR044,0
PLYR045,0
PLYR046,2
PLYR047,2
PLYR048,2
PLYR049,2
PLYR050,2
PLYR051,2
PLYR052,2
PLYR053,2
PLYR054,2
PLYR055,2
PLYR056,2
PLYR057,3
PLYR058,3
PLYR059,3
PLYR060,3
PLYR061,3
PLYR062,3
PLYR063,3
PLYR064,3
PLYR065,3
PLYR066,3
PLYR067,4
PLYR068,4
PLYR069,4
PLYR070,4
PLYR071,4
PLYR072,4
PLYR073,4
PLYR074,4
PLYR075,4
PLYR076,3
PLYR077,3
PLYR078,4
PLYR079,0
PLYR080,4
PLYR081,4
PLYR082,3
PLYR083,4
PLYR084,3
PLYR085,2
PLYR086,3
PLYR087,3
PLYR088,4
PLYR089,3
PLYR090,0
PLYR091,3
PLYR092,4
PLYR093,4
PLYR094,0
PLYR095,0
PLYR096,4
PLYR097,2
PLYR098,2
PLYR099,3
PLYR100,4
PLYR101,0
PLYR102,4
PLYR103,4
PLYR104,2
PLYR105,4
PLYR106,0
PLYR107,2
PLYR108,2
PLYR109,4
PLYR110,3
PLYR111,0
PLYR112,2
PLYR113,4
PLYR114,4
PLYR115,2
PLYR116,3
PLYR117,4
PLYR118,0
PLYR119,0
PLYR120,2
PLYR121,4
PLYR122,4
PLYR123,3
PLYR124,2
PLYR125,3
